Deutsch	Englisch	Anzahl	TextAnzeigen	Kategorie	Unterkategorie	Bild
Kaltverpflegung	cold meals	3	ja	Verpflegung	Essen	-
Warmverpflegung	hot meals	3	ja	Verpflegung	Essen	-
Brötchen	bread rolls	3	ja	Verpflegung	Essen	002-buns.png
Obst	fruit	3	ja	Verpflegung	Essen	fruit.jpg
Konserven	tinned food	3	ja	Verpflegung	Essen	001-can.png
Kindernahrung	infant food	3	ja	Verpflegung	Essen	-
Säuglingsnahrung	baby food	3	ja	Verpflegung	Essen	feeding-bottle.jpg
Verderbliche Waren	perishable goods	3	ja	Verpflegung	Essen	-
Lebensmittel	groceries	3	ja	Verpflegung	Essen	-
Getränke	beverages	3	ja	Verpflegung	Getränke	003-food-and-restaurant.png
Kaffee	coffee	3	ja	Verpflegung	Getränke	004-coffee-cup.png
Säfte	juices	3	ja	Verpflegung	Getränke	006-juice.png
Trinkwasser	drinking water	3	ja	Verpflegung	Getränke	glass.jpg
Tee	tea	3	ja	Verpflegung	Getränke	005-tea.png
Besteck	cutlery	3	ja	Verpflegung	Geschirr sauber	cutlery.jpg
Teller	plates	3	ja	Verpflegung	Geschirr sauber	008-plate.png
Teller flach	dinner plates	3	ja	Verpflegung	Geschirr sauber	008-plate.png
Teller tief	soup plates	3	ja	Verpflegung	Geschirr sauber	009-plate-1.png
Gläser	drinking glasses	3	ja	Verpflegung	Geschirr sauber	011-glass-of-water.png
Tassen	cups	3	ja	Verpflegung	Geschirr sauber	010-cup.png
Gebrauchtes Besteck	used cutlery	3	ja	Verpflegung	Geschirr gebraucht	
Gebrauchte Teller	used plates	3	ja	Verpflegung	Geschirr gebraucht	
Gebrauchte Tassen	used cups	3	ja	Verpflegung	Geschirr gebraucht	
Gebrauchte Gläser	used drinking glasses	3	ja	Verpflegung	Geschirr gebraucht	
vegetarisch	vegetarian	3	ja	Verpflegung	Essenskennzeichnung	vegetarisch.png
vegan	vegan	3	ja	Verpflegung	Essenskennzeichnung	vegan.png
Fisch	fish	3	ja	Verpflegung	Essenskennzeichnung	fish.jpg
Geflügel	poultry	3	ja	Verpflegung	Essenskennzeichnung	chicken.jpg
Schwein	pork	3	ja	Verpflegung	Essenskennzeichnung	pig.jpg
Rind	beef	3	ja	Verpflegung	Essenskennzeichnung	cow.jpg
koscher	kosher	3	ja	Verpflegung	Essenskennzeichnung	
halal	halal	3	ja	Verpflegung	Essenskennzeichnung	
Verpflegung	catering	3	ja	Verpflegung	Bereiche	essen.png
Küchenbereich	kitchen area	3	ja	Verpflegung	Bereiche	012-kitchen-furniture.png
Ausgabe	distribution point	3	ja	Verpflegung	Bereiche	
Vorratsraum	storage room	3	ja	Verpflegung	Bereiche	lagerraum.png
Speiseraum	dining room	3	ja	Verpflegung	Bereiche	013-table.png
Verpflegungsstelle	catering point	3	ja	Verpflegung	Bereiche	essenausgabe_2.png
Abfallentsorgung	waste disposal	3	ja	Verpflegung	Hygiene	-
Müll	rubbish	3	ja	Verpflegung	Hygiene	014-delete.png
Restmüll	non-recyclable waste 	3	ja	Verpflegung	Hygiene	-
Verpackungsmüll	packaging waste	3	ja	Verpflegung	Hygiene	-
Altpapier	wastepaper	3	ja	Verpflegung	Hygiene	-
Biomüll	organic waste	3	ja	Verpflegung	Hygiene	-
